user_id,hit
699,0
226,0
386,0
938,1
487,0
26,0
480,0
767,0
978,0
434,0
6,1
599,0
661,0
1014,0
956,0
103,0
1111,1
447,0
109,0
572,0
816,0
255,0
1001,0
981,0
1042,1
656,0
750,0
627,0
918,0
300,1
436,0
364,0
123,0
1045,0
133,0
893,0
813,0
456,0
927,0
137,0
819,0
202,1
501,0
527,0
950,0
47,1
406,0
353,0
441,0
680,0
748,0
409,0
580,0
1109,0
330,0
52,0
621,1
361,0
602,0
380,0
860,0
805,0
736,0
573,0
24,0
392,0
22,0
410,0
72,0
177,0
346,0
292,0
899,0
277,0
503,0
841,0
715,0
1054,0
485,0
481,0
130,0
446,0
971,0
48,0
355,0
385,0
437,0
615,0
945,0
462,0
157,0
644,0
155,0
384,0
753,0
789,0
851,0
983,1
472,0
639,0
875,0
566,0
901,0
962,0
807,0
296,0
186,0
351,0
526,0
755,0
768,0
5,0
868,0
669,0
692,0
1085,0
0,0
468,1
988,0
712,0
809,0
173,0
146,0
204,0
946,0
75,0
180,0
614,0
729,0
523,0
372,1
324,0
766,0
418,0
942,1
345,1
110,0
492,0
482,1
1053,1
883,0
1,0
561,0
56,0
626,0
710,0
943,0
706,0
940,0
894,0
479,0
539,0
821,1
82,1
966,1
907,0
1108,0
955,0
1046,0
273,0
162,0
235,0
1064,0
829,0
466,0
1047,0
439,0
920,0
529,1
227,0
953,0
448,0
1050,0
272,0
919,0
220,0
187,0
357,0
586,0
38,0
7,0
290,1
932,1
873,0
230,0
925,0
576,0
516,1
216,0
217,0
984,0
23,0
933,0
858,0
161,0
734,0
1033,0
443,0
916,1
855,0
453,0
730,0
882,0
596,1
77,0
347,0
45,0
1099,0
126,0
889,0
872,0
203,0
792,0
321,0
622,0
799,0
793,0
350,0
76,1
288,0
113,0
407,0
980,0
318,0
338,0
660,0
775,0
718,0
1017,0
728,0
170,0
877,0
804,0
897,0
609,0
144,0
628,0
754,0
888,1
34,0
1038,0
70,0
151,0
618,0
668,0
1058,0
1089,0
790,0
159,0
1061,1
261,0
632,0
1022,0
1049,0
815,0
534,0
826,0
812,0
224,0
1024,0
567,0
8,0
178,0
373,0
320,0
542,0
679,0
558,1
629,0
473,0
986,0
315,0
334,0
545,0
611,0
608,0
522,0
1029,0
836,0
