user_id,ndcg
258,0.0000
795,0.0000
427,0.0000
518,0.0000
571,0.0000
697,0.0663
928,0.0000
811,0.0663
387,0.0000
499,0.0000
676,0.0000
705,0.0000
830,0.0000
684,0.0000
166,0.0000
303,0.0000
269,0.0000
469,0.2247
68,0.0663
356,0.0000
941,0.2201
391,0.0000
513,0.0000
880,0.0000
822,0.0000
50,0.0000
985,0.0000
721,0.0000
646,0.0000
832,0.0000
1048,0.2201
66,0.0000
95,0.0000
149,0.0000
10,0.0000
535,0.0000
597,0.0000
675,0.0000
704,0.0000
117,0.0000
1044,0.0000
81,0.0000
493,0.0000
467,0.0000
878,0.0000
744,0.0000
194,0.0000
199,0.0663
474,0.0000
777,0.0000
211,0.0000
376,0.1518
929,0.0000
645,0.0000
653,0.0000
657,0.0000
617,0.0000
532,0.0784
1059,0.0000
150,0.0000
559,0.0000
240,0.0000
849,0.0000
891,0.0000
773,0.0000
906,0.1584
188,0.0000
954,0.0000
739,0.0000
233,0.0000
960,0.0000
674,0.0000
395,0.0000
797,0.0000
402,0.0000
192,0.0000
944,0.1100
783,0.0000
120,0.0000
937,0.0000
33,0.0000
504,0.0734
31,0.0000
808,0.0000
871,0.0000
817,0.0000
900,0.0000
208,0.2489
683,0.0000
1093,0.0000
724,0.0000
253,0.0000
206,0.0000
863,0.0000
152,0.0000
737,0.0948
394,0.0000
613,0.0000
598,0.0000
743,0.0000
1006,0.0000
1030,0.0000
788,0.0000
658,0.0000
297,0.0000
498,0.0000
898,0.0837
165,0.1389
696,0.0000
486,0.0000
197,0.0000
1003,0.0000
1103,0.0000
1012,0.0000
828,0.0000
112,0.0000
794,0.0783
381,0.0000
89,0.0000
861,0.0000
786,0.0000
268,0.0000
461,0.0000
913,0.0000
774,0.0000
182,0.0000
810,0.0000
531,0.0000
84,0.0000
167,0.0000
648,0.0000
329,0.0000
547,0.0000
92,0.0000
134,0.0663
553,0.0000
374,0.0000
58,0.0000
249,0.0000
251,0.0000
914,0.0000
145,0.0000
965,0.0000
670,0.0000
244,0.0000
1015,0.0000
179,0.0000
175,0.0000
577,0.0000
358,0.0000
1010,0.1651
798,0.0000
69,0.0000
886,0.0000
1094,0.0000
693,0.0000
624,0.0000
999,0.0000
222,0.0000
769,0.0000
312,0.0000
11,0.0784
791,0.0000
510,0.0000
293,0.0000
563,0.0000
154,0.0000
727,0.0000
540,0.2201
1032,0.0000
362,0.0000
862,0.0000
127,0.0000
15,0.0000
1041,0.0000
494,0.0000
951,0.0000
264,0.0000
987,0.0000
1023,0.0000
707,0.0000
98,0.0000
398,0.0000
1004,0.0000
995,0.0694
128,0.6309
189,0.0784
86,0.0000
262,0.0000
814,0.1128
400,0.1070
310,0.0000
1090,0.0000
1037,0.0000
570,0.0000
131,0.0000
770,0.1357
688,0.0000
1026,0.0000
428,0.0000
771,0.0000
716,0.0000
1043,0.0000
1101,0.0000
413,0.0000
83,0.0000
507,0.0000
191,0.0000
592,0.0000
963,0.0000
411,0.0000
138,0.0000
1018,0.0783
271,0.0000
885,0.0000
44,0.0000
405,0.3392
562,0.0795
1065,0.0000
764,0.0000
973,0.0000
652,0.0000
30,0.0000
1057,0.0000
383,0.0000
183,0.0000
420,0.0000
451,0.0000
701,0.0000
322,0.0000
1060,0.0000
1009,0.0000
236,0.0000
43,0.0000
910,0.0000
331,0.0000
379,0.0000
232,0.1021
169,0.0784
698,0.0000
174,0.0000
1098,0.0000
681,0.0000
749,0.0955
673,0.0000
905,0.0000
582,0.0000
397,0.0000
549,0.0000
517,0.1851
247,0.0000
403,0.0000
416,0.0000
234,0.0000
949,0.0000
209,0.0000
524,0.0000
961,0.1232
934,0.0000
922,0.0000
228,0.0000
685,0.1357
722,0.0000
568,0.0000
548,0.0000
328,0.0000
1088,0.2021
996,0.0000
176,0.0000
923,0.0000
287,0.1772
88,0.0000
806,0.0000
366,0.0000
867,0.0000
142,0.0000
1100,0.0000
37,0.0000
578,0.0000
