user_id,ndcg
845,0.0000
714,0.0000
709,0.0000
600,0.0000
686,0.0663
314,0.0000
589,0.0000
1016,0.0000
375,0.0000
417,0.0000
936,0.0784
432,0.0000
840,0.0000
340,0.0000
606,0.0000
266,0.0000
298,0.0000
67,0.0000
102,0.0000
713,0.0000
552,0.0000
148,0.0000
29,0.0000
642,0.0000
780,0.0000
360,0.0000
541,0.0000
677,0.0000
990,0.0000
1091,0.0636
80,0.0000
947,0.0000
585,0.0000
139,0.0000
502,0.0000
590,0.0000
32,0.0000
90,0.0000
831,0.0636
827,0.1100
520,0.0000
2,0.0000
87,0.0000
508,0.0000
665,0.0000
506,0.0851
803,0.2935
218,0.0000
1008,0.0000
242,0.0000
36,0.0000
892,0.0000
742,0.0000
455,0.0000
902,0.0663
4,0.0000
295,0.0000
785,0.0000
687,0.0000
564,0.0000
61,0.0000
488,0.1389
1070,0.0000
1025,0.1389
975,0.0000
864,0.0000
847,0.0000
284,0.0000
782,0.0000
672,0.0636
238,0.0000
694,0.0000
256,0.0000
1078,0.0000
569,0.0000
27,0.0000
160,0.0000
1095,0.0000
54,0.0000
778,0.0000
41,0.0000
758,0.0000
757,0.0000
740,0.0000
1067,0.0000
636,0.0000
1062,0.0000
887,0.0000
612,0.0000
412,0.0000
245,0.0000
735,0.0000
745,0.0000
429,0.0000
765,0.0000
229,0.0000
1063,0.0000
59,0.0000
339,0.1596
554,0.0000
62,0.0000
1096,0.0000
221,0.0000
143,0.0000
776,0.0000
587,0.0000
278,0.0000
121,0.0000
543,0.0000
433,0.0000
500,0.0000
601,0.0000
1107,0.0000
565,0.0000
1007,0.0000
260,0.4462
1074,0.2278
280,0.1100
972,0.1131
854,0.0000
738,0.0000
294,0.0636
865,0.0000
291,0.0000
982,0.0000
239,0.0000
1071,0.0000
643,0.0000
1069,0.0000
623,0.0000
631,0.0000
655,0.0000
651,0.0000
1056,0.0000
259,0.0000
874,0.5649
1028,0.0000
274,0.0784
248,0.0000
779,0.0000
1086,0.0000
594,0.0000
306,0.0000
136,0.0000
511,0.0784
210,0.0000
759,0.0000
464,0.0000
733,0.0000
935,0.0000
921,0.0000
1019,0.0000
164,0.0000
741,0.0000
348,0.1488
46,0.1312
800,0.0000
168,0.0000
442,0.0000
354,0.0000
537,0.0000
1055,0.0000
637,0.0979
1080,0.0000
546,0.0000
323,0.0000
752,0.0000
1097,0.1980
184,0.0000
1039,0.0000
1077,0.0000
352,0.0000
820,0.0000
725,0.0000
538,0.0000
521,0.0000
1005,0.0000
108,0.0000
449,0.0000
708,0.0000
213,0.0000
389,0.0000
96,0.0000
505,0.0000
263,0.0000
583,0.0000
917,0.0000
79,0.0000
444,0.0000
65,0.0000
634,0.0000
349,0.0000
342,0.0000
1051,0.0000
969,0.0000
556,0.0784
952,0.0000
198,0.0000
459,0.0000
327,0.0000
119,0.0000
756,0.0000
28,0.0663
625,0.0000
419,0.0000
3,0.0000
71,0.0000
1000,0.0000
74,0.0000
163,0.0000
662,0.0000
367,0.0000
401,0.0000
838,0.0000
747,0.0000
846,0.0000
603,0.1100
835,0.0000
1027,0.0000
450,0.0000
181,0.1301
484,0.0000
1115,0.1822
976,0.0000
326,0.0000
839,0.0000
470,0.0000
560,0.0000
654,0.0000
691,0.0000
1031,0.0000
483,0.0000
426,0.0000
1106,0.1851
857,0.0000
105,0.0000
399,0.0000
1084,0.0000
997,0.0000
760,0.0000
14,0.0000
1083,0.0000
1092,0.0000
1113,0.4367
619,0.0000
254,0.0000
231,0.0000
424,0.0000
843,0.0000
663,0.0000
666,0.0000
193,0.0000
309,0.0000
1076,0.0000
285,0.0000
267,0.0000
1073,0.0000
39,0.0000
241,0.0000
581,0.0000
746,0.0000
915,0.0000
85,0.0000
890,0.0000
478,0.0000
825,0.0000
341,0.0867
422,0.0000
731,0.0000
63,0.1480
1079,0.0000
51,0.0000
690,0.0000
78,0.0000
343,0.0000
20,0.0000
723,0.0000
869,0.0000
21,0.0000
